"Time (UTC)","Google (Search)","Telescope (# Unique Source IPs)","BGP (#Visible /24s)","Active Probing (#/24s Up)","Mozilla (City Count)"
"2026-01-28 23:00:00",34.38675310358437,22.570200741743683,99.21233041277571,94.24335106382978,17.073170731707318
"2026-01-29 00:00:00",21.51992129248225,20.963089421322188,98.92941807755764,94.02393617021276,19.51219512195122
"2026-01-29 01:00:00",14.970605618602,20.674633543297816,98.93162050904198,93.72074468085107,17.073170731707318
"2026-01-29 02:00:00",14.013543172188772,21.28097957261435,98.93582515096668,93.49335106382979,17.073170731707318
"2026-01-29 03:00:00",19.448144183309093,22.417142520751163,98.93202095113006,93.23537234042553,31.70731707317073
"2026-01-29 04:00:00",30.681795880856605,27.99788073232472,98.94103089811152,93.2061170212766,68.29268292682927
"2026-01-29 05:00:00",47.83539891909169,30.058279861070226,99.04334385161219,93.52925531914894,78.04878048780488
"2026-01-29 06:00:00",63.54296574325568,30.64696532642609,99.25537793724271,93.97739361702128,90.2439024390244
"2026-01-29 07:00:00",74.62967591981325,28.67486901748396,99.26038346334354,94.21941489361703,92.6829268292683
"2026-01-29 08:00:00",82.24086122260688,28.10973097074233,99.26999407345711,94.96010638297872,82.92682926829268
"2026-01-29 09:00:00",84.85512596722035,27.67999058103255,99.27580048373405,95.33244680851064,78.04878048780488
"2026-01-29 10:00:00",84.07808271653052,24.100782951668922,99.27399849433776,95.48537234042553,68.29268292682927
"2026-01-29 11:00:00",81.03701254640566,23.81821392829811,99.26038346334354,95.21808510638297,65.85365853658537
"2026-01-29 12:00:00",75.25112433033465,22.876317183728734,99.25157373740609,95.41622340425532,65.85365853658537
"2026-01-29 13:00:00",68.01760768487995,22.446576794018956,99.26799186301677,95.29920212765957,68.29268292682927
"2026-01-29 14:00:00",63.42523693271905,21.392829811031966,99.31344204001218,95.64627659574467,68.29268292682927
"2026-01-29 15:00:00",63.65655609702878,21.133808206275386,99.33186237606319,95.59840425531914,65.85365853658537
"2026-01-29 16:00:00",64.6519236267466,20.674633543297816,99.32625618683026,95.25132978723403,63.41463414634146
"2026-01-29 17:00:00",66.52492026450206,20.09772178724907,99.32665662891833,94.99335106382979,60.97560975609756
"2026-01-29 18:00:00",71.2043717756279,19.379525519514925,99.33026060771091,94.84441489361701,63.41463414634146
"2026-01-29 19:00:00",76.57255164295425,19.532583740507445,99.3160449135846,93.76063829787235,56.09756097560976
"2026-01-29 20:00:00",75.4473691695253,19.09695649614411,99.32665662891833,93.96808510638299,48.78048780487805
"2026-01-29 21:00:00",69.43588478154734,17.7900747630541,99.32405375534591,93.7313829787234,46.34146341463415
"2026-01-29 22:00:00",54.62533106928652,17.19550244304468,99.32325287116977,94.36436170212765,29.268292682926827
"2026-01-29 23:00:00",39.030432381945936,17.99022782127509,99.33486569172368,94.13696808510637,21.951219512195124
"2026-01-30 00:00:00",24.978363846435208,17.03067051274504,99.33246303919529,94.3311170212766,19.51219512195122
"2026-01-30 01:00:00",17.056637717151833,16.883499146406074,99.33206259710721,93.99335106382978,14.634146341463413
"2026-01-30 02:00:00",13.968774446971777,16.889386001059634,99.34087232304465,93.55053191489361,14.634146341463413
"2026-01-30 03:00:00",16.57638474074859,17.11897333254842,99.3356665758998,93.75398936170212,19.51219512195122
"2026-01-30 04:00:00",23.756880302082767,18.11973862365338,99.34767983854175,93.51728723404256,39.02439024390244
"2026-01-30 05:00:00",35.651324106899445,18.472949902866898,99.35568868030306,93.53856382978722,51.21951219512195
"2026-01-30 06:00:00",50.35495096363686,18.249249426031668,99.35168425942241,93.85239361702128,63.41463414634146
"2026-01-30 07:00:00",64.86309539438854,18.013775239889327,99.34707917540965,94.47739361702126,65.85365853658537
"2026-01-30 08:00:00",74.14274403036467,19.149938188026137,99.33967099678046,94.75,68.29268292682927
"2026-01-30 09:00:00",78.09435646635893,19.868134455760288,99.34627829123353,95.0598404255319,68.29268292682927
"2026-01-30 10:00:00",77.62168054588436,18.602460705245186,99.33927055469238,94.92021276595743,68.29268292682927
"2026-01-30 11:00:00",76.29469005384823,19.06163536822276,99.34067210200061,94.95345744680851,63.41463414634146
"2026-01-30 12:00:00",72.15808813013282,18.67310296108789,99.34187342826482,95.21808510638297,65.85365853658537
"2026-01-30 13:00:00",66.91127399475916,18.614234414552307,99.34107254408868,95.07313829787233,68.29268292682927
"2026-01-30 14:00:00",63.4307028917218,18.832048036733973,99.33826944947222,95.09707446808511,68.29268292682927
"2026-01-30 15:00:00",66.94370197467047,19.791605345264024,99.32665662891833,95.21941489361701,68.29268292682927
"2026-01-30 16:00:00",68.65715881369015,19.85636074645317,99.33526613381174,95.12367021276594,65.85365853658537
"2026-01-30 17:00:00",72.48224667173187,20.362630246659208,99.33126171293108,95.23670212765958,65.85365853658537
"2026-01-30 18:00:00",75.76046583936804,19.874021310413845,99.33186237606319,95.32579787234042,63.41463414634146
"2026-01-30 19:00:00",79.26333106192068,20.839465473597457,99.3436754176611,94.90691489361701,63.41463414634146
"2026-01-30 20:00:00",77.56150500042459,19.21469358921528,99.35789111178741,94.81515957446808,56.09756097560976
"2026-01-30 21:00:00",65.6491702644125,19.308883263672218,99.35769089074338,94.87898936170212,53.65853658536586
"2026-01-30 22:00:00",46.91694459349141,18.814387472773298,99.36509906937259,94.93218085106382,24.390243902439025
"2026-01-30 23:00:00",30.705136395144766,18.24336257137811,99.37050503756146,94.80718085106382,17.073170731707318
"2026-01-31 00:00:00",19.984125240901417,17.637016542061577,99.36810238503307,94.46542553191489,17.073170731707318
"2026-01-31 01:00:00",14.648699503946737,17.678224524636484,99.37170636382567,94.3125,17.073170731707318
"2026-01-31 02:00:00",14.856549346161538,18.237475716724553,99.37450945844213,93.97340425531915,17.073170731707318
"2026-01-31 03:00:00",23.505931171805557,19.944663566256548,99.3749099005302,93.94015957446808,41.46341463414634
"2026-01-31 04:00:00",38.19346580438311,34.77365043857067,99.39493200493345,94.26994680851062,87.8048780487805
"2026-01-31 05:00:00",56.63400231546569,41.90263142403014,99.39873620477006,94.66489361702126,97.5609756097561
"2026-01-31 06:00:00",68.5194154528211,40.12480131865544,99.39573288910958,95.0811170212766,97.5609756097561
"2026-01-31 07:00:00",77.12875999908675,29.710955436510268,99.39873620477006,95.27127659574467,95.1219512195122
